key,avgDwellTime,discountApplied,name,picture,promotionCode
# base entity
service-01,15,EUR 100.00,Servicio Básico,https://plus.unsplash.com/premium_photo-1724745799156-d186120d547c?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NXx8bmklQzMlQjFvJTIwcmF0YXxlbnwwfHwwfHx8MA%3D%3D,ABCD-01
service-02,30,EUR 250.50,Servicio Premium,https://plus.unsplash.com/premium_photo-1724745799022-97eb86447ebb?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1yZWxhdGVkfDF8fHxlbnwwfHx8fHw%3D,WXYZ-02
service-03,25,EUR 75.25,Servicio Estándar,https://plus.unsplash.com/premium_photo-1724745799262-996458e8844b?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1yZWxhdGVkfDV8fHxlbnwwfHx8fHw%3D,LMNO-03
service-04,40,EUR 500.01,Servicio Avanzado,https://plus.unsplash.com/premium_photo-1724646533446-0c7cdc3a4aa4?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1yZWxhdGVkfDh8fHxlbnwwfHx8fHw%3D,QRST-04
service-05,10,EUR 20.99,Servicio Express,https://plus.unsplash.com/premium_photo-1724646533523-7b8d022ab10b?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1yZWxhdGVkfDl8fHxlbnwwfHx8fHw%3D,UVWX-05
service-06,35,EUR 300.75,Servicio VIP,https://plus.unsplash.com/premium_photo-1724646533375-46d8f57c7bec?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1yZWxhdGVkfDd8fHxlbnwwfHx8fHw%3D,YZAB-06
service-07,20,EUR 50.50,Servicio Económico,https://plus.unsplash.com/premium_photo-1724745798740-7e6a55349fa5?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1yZWxhdGVkfDEwfHx8ZW58MHx8fHx8,CDEF-07
service-08,50,EUR 999.99,Servicio Completo,https://plus.unsplash.com/premium_photo-1724745798783-533a966764cf?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1yZWxhdGVkfDExfHx8ZW58MHx8fHx8,GHIJ-08
# avd_dwell_time - standard variations
service-09,50,EUR 100.00,Servicio Básico,https://plus.unsplash.com/premium_photo-1724475686854-e9be09351617?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1yZWxhdGVkfDIxfHx8ZW58MHx8fHx8,JKLM-09
service-10,00,EUR 250.50,Servicio Premium,https://plus.unsplash.com/premium_photo-1724475944978-306eb32023d8?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1yZWxhdGVkfDE4fHx8ZW58MHx8fHx8,NOPQ-10
service-11,01,EUR 75.25,Servicio Estándar,https://plus.unsplash.com/premium_photo-1724546208079-06f533aaf10f?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1yZWxhdGVkfDI1fHx8ZW58MHx8fHx8,RSTU-11
